application,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,Aggregate
ONOS fwd,51.8,59.4,13.9,66,105,52.4,52.6,53.9,13.5,13.2,20.8,195,65.5,130,52.7,12.5,106,64.5,64.3,65.2,185,52.3,5.23,52.7,55.1,43.5,64.3,59.4,12.5,52.3,21.3,52.2,1914.03
ONOS fwd,74,74.5,67.8,74.8,30,73.6,68.5,68.1,69.6,65.3,70.8,74.5,42,6.66,68.8,23.9,74.7,45.3,44.5,73.4,35.1,31.7,59.3,70.7,39.2,74.9,63.9,75.7,38.3,75.3,74.6,74.7,1904.16
ONOS fwd,82.1,41,74.5,74.9,72.5,62.3,64,73.2,46.6,25.7,58.4,57.5,31.4,73.9,54.6,63.9,74.1,55.4,69.9,70,35.9,60,58.3,69.9,58.1,63.2,74.7,59.6,58.8,59,25.7,62.9,1912
ONOS fwd,76.8,74.3,62.1,74.9,68.7,58.5,70.2,40.6,53.1,73.4,37.3,69.1,51.6,73,47.9,24.3,68.9,72.6,73.1,54.3,60.4,57.3,66.9,70.3,65.9,50.5,62.5,73.4,7.21,72,31.4,67.3,1909.81
ONOS fwd,47.6,21.1,63.3,73.2,72.5,62.1,69,37,74.2,74.8,39.8,71,73,65.9,57.5,52,73.1,73,52.1,68.4,73,55.7,66.3,71.5,34.3,66.3,100,74.1,25.3,71.9,7.54,41.8,1908.34
ONOS fwd,67.8,53,31.4,69.4,62.3,61.1,67,41.8,71.2,60.8,72.9,6.84,71.9,71.9,72.1,72.5,71.2,71.2,70,13.9,65.6,64.8,56.3,34.4,108,88.6,70.4,61.6,70.1,57.1,8.13,41.9,1907.17
ONOS fwd,82.3,82.7,53.2,80.5,24.5,72.1,77.9,62.8,81.1,81.2,56.7,7.42,45.2,46.9,55,47,62.9,63.8,73.2,6.75,70.1,16.5,45.2,72.1,31.6,65.2,67.3,69.3,71.6,13.9,71.5,155,1912.47
ONOS fwd,66.2,58.5,60.7,73.4,37.8,70.8,54.3,42.9,121,61.2,57.2,70.6,40.4,32.4,44.2,65,64.6,67.1,59.2,29.5,44.2,64.7,59.4,72.9,69.3,67.8,30,62,60.7,71.5,71,61.2,1911.7
ONOS fwd,65.8,67.4,73.4,67.8,63.2,65.7,72.2,33.2,73,71.1,44.3,41.8,72.6,27.1,68.9,48.4,64.2,51.6,64.8,72.5,67.3,64.9,62.5,49.3,71.7,67.7,71.8,37.7,55.5,70.9,29.4,53.6,1911.3
ONOS fwd,85.9,71.4,65,73.4,48,67,53.8,42.8,32.5,70,64.8,63.4,49.4,68.3,59.1,42.9,70.8,72,61.7,43,65.5,70.4,61.5,43.2,62.9,27.4,63.3,69.4,67.5,62.5,70.3,43.8,1912.9
ONOS fwd,78.3,74.2,85,69.1,37,82.9,59.6,59.3,75.3,54.2,61.1,6.85,12,40.1,98.9,62.1,60.3,72.3,75.3,9.75,52.6,53,75.2,66.6,33.7,71.5,84.4,119,7.52,65.1,32.3,75.3,1909.82
ONOS fwd,68,78.6,83.2,72.9,44.9,66,56.3,70,28.1,55.4,39.5,72.4,37.4,51.6,65.2,65.6,65.9,75.9,59.4,7.41,84.6,74.7,38,27,75.2,75.6,81.4,74.3,50.1,58.3,64.9,41.3,1909.11
ONOS fwd,34.3,66.3,56.2,50.8,59.7,40.9,68.5,45.8,60,51.8,90.6,11.3,68.4,68.5,137,45.6,63.4,68,71.4,70.2,52.6,31,46,59.7,71.2,71.5,67,55.6,51.6,61.2,67.7,46.6,1910.4
ONOS fwd,73.5,69.7,73.8,54.6,59.6,68,62.1,72.6,101,74,32.1,7.04,25.9,45.9,62.9,73,66.9,73.2,73.3,53.6,44.1,73.5,68.3,53.1,54.2,72.8,66.4,53.8,66.1,45.3,20,69.8,1910.14
ONOS fwd,75.6,60,70.2,74.5,24.1,148,8.82,41.5,57.9,56.4,73.7,7.25,18.5,109,65.2,64.2,69.4,67.5,65,25.3,61.1,67.3,6.31,171,68.7,69.3,55.4,61.5,47.1,61.7,44.7,13.6,1909.78
ONOS fwd,63.2,68.8,71.8,59.7,49.5,34.4,72.7,48.7,64.9,52.8,72.4,6.63,67.7,39.5,76.8,105,61,66.1,73.2,84.2,60.1,54.5,31.9,52.1,48.7,73.4,73.2,67.8,7.91,65.4,68.6,65.9,1908.54
ONOS fwd,71.3,66.5,56.9,60.1,92.7,30.1,68.2,67.9,55.1,51.3,49.2,57.4,52.2,53,56.4,68,61,65.1,65.4,55.3,66.1,50.5,28.5,56.3,63.1,71.5,59.7,54.7,19.8,56.4,63.1,119,1911.8
ONOS fwd,70,81.1,61.7,74.1,13.5,49.6,74.1,38.2,67.9,66.4,52.2,6.78,59.7,26.4,47.6,166,72.7,72.7,72.6,20.1,71.9,64.7,42.2,61.3,68.1,72.9,67.5,104,6.69,10.9,72.4,73.7,1909.67
ONOS fwd,75.3,74.2,29,74.2,67.2,62.7,73.7,44.6,59.9,71.2,75,19.6,49.1,68.2,75,37.1,74.1,74.3,63.5,40.9,72.4,67.6,66.4,68.4,64.1,54.8,72.3,75.9,24.2,61.7,26.6,48.3,1911.5
ONOS fwd,72.3,69.1,73.5,72.3,64.4,29.3,48.3,61.4,53,106,7.95,66.4,54.1,57.6,59.8,59.3,70.8,54.9,53,14.5,124,61.2,67.8,69.3,67.8,72,58.2,72.5,6.53,43.3,48,71.1,1909.68
ONOS fwd,62.9,75.9,50.8,69.2,65.4,65.2,72.1,73.2,69.4,75.9,10.5,33.1,66.7,69.2,38.2,57.6,71.9,66.4,72.1,70.7,67.8,53.8,31.5,68,69.4,67.1,65.2,72,6.62,67.2,39.9,65.1,1910.02
ONOS fwd,80.3,78,71.9,79.1,79.6,73.3,72.6,35,46.6,63.9,7.38,7.36,65.8,87.2,75.3,32.2,21,76.3,75,123,29.8,49.9,50.5,48.5,73.5,46.1,73.6,72.2,6.66,64.6,71.8,72.7,1910.7
ONOS fwd,75.4,74.3,75.3,118,58.6,70.8,68.9,66.2,71.8,56,6.82,6.86,62.2,23.3,68.6,50.8,65.2,66.3,72.4,38.8,65.6,59.3,28.6,69.3,63.8,28.6,72.2,71.1,7.43,156,51.4,38.2,1908.11
ONOS fwd,72.2,72.3,46.3,72.6,72,71.8,144,71.9,28.5,63.6,9.7,42.3,62.6,63.3,22.1,41.5,71.5,76.2,70.6,56.9,74.9,8.41,70.5,109,75.6,75.4,74.6,74.9,12.2,41.5,6.73,54.9,1910.54
ONOS fwd,73.3,76.8,77.1,77.6,65,62.5,76.9,62.8,51.4,64.7,6.99,7.12,66.6,75.7,47.6,62,41.4,78.9,70.6,71,65.6,40.6,77.1,49.4,53.1,78.8,103,79.3,8.38,77.5,7.95,50.8,1907.54
ONOS fwd,74.2,73.9,65.5,74.7,73.2,74.5,71.1,60.9,64,19.8,16.7,45.7,64.8,73.6,36.5,66.2,74,75.7,76.7,71.6,48,42.6,58.4,74.7,65.1,66.4,65.1,80.7,6.83,66.6,7.21,75.1,1910.04
ONOS fwd,25.6,41.3,57.4,53.4,78.7,26.9,63.9,95.1,31.9,76.7,7.61,20.6,8.46,66.1,127,173,95.7,79.1,79.5,103,51.1,6.67,82.1,21.2,79.3,79.5,79.3,77.6,6.67,31.9,7.46,73.5,1907.27
ONOS fwd,67.9,46.3,77.6,70,73.1,29,76.5,31.5,72.8,76.1,23.7,7.33,74,76.1,76.4,76.4,74.5,70.9,96.5,70.9,75.8,6.79,69.4,75,75.4,43.2,74.4,77,6.78,74.8,7.11,55.8,1909.01
ONOS fwd,76.4,75.5,75.6,76.3,68.4,72.9,60.7,74.9,62.1,75.1,53,6.95,60,55,23.4,39.1,72.5,71.9,58.4,59.2,73,26.1,34.4,73.3,69.9,61.3,60.5,71.9,7.7,69.3,70.2,74.3,1909.25
ONOS fwd,70.7,17.7,72.1,68.7,39.1,17.9,26.6,70,29.9,119,6.49,27.9,242,47.7,64.8,34.8,63.6,67.6,74.6,32.5,123,42.8,33.2,72.2,75.9,75.2,74.5,98.5,16.1,45.3,6.86,52.1,1909.35
ONOS fwd,79.7,77.7,52.3,79,61.4,57.1,67.2,73.3,58.4,69.3,11.3,7.3,73,67,68.8,52.2,62.3,62.3,63.7,73.1,54.9,46.3,39.6,40.8,72.6,59.6,70.8,73.4,57.9,70.5,46.2,59.8,1908.8
