application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,8.71,23.3,19.5,16.4,56.6,28.8,238,43.6,82.8,46,49.7,41.9,253,104,461,138,116,19.2,10.9,6.34,45.4,41.5,16.9,47.2,97,135,87.4,70.9,298,69,74.7,125,2871.75
ONOS fwd,63.8,8.89,36.1,24.6,8.11,17.2,72,55.1,13.8,11.5,67.6,36.1,361,110,382,101,243,59.8,35.2,8.48,13.7,135,36.6,8.74,163,93.5,203,93.9,90.3,94.6,120,94.6,2862.22
ONOS fwd,38.8,74.3,67.6,17.3,26.3,67.7,73,26.6,54.6,11.3,65.6,38.6,465,97.2,296,96.6,62.4,69,71.2,35.5,47.3,7.22,36,64.8,193,84.7,215,93.2,67,86,129,85.1,2862.92
ONOS fwd,84.7,21.9,68.2,37.8,79.6,8.27,44.9,16.9,83.2,6.75,40.6,35.8,304,104,426,124,52.5,40.9,65.1,52.1,84.4,45.1,51.4,35.1,138,89.6,88.1,160,129,88.9,173,89,2868.82
ONOS fwd,70.2,8.79,98.9,7.62,78.3,9.47,68.1,18.6,70.7,10.9,71.5,7.47,427,93.4,340,94.5,58.8,135,7.5,63.8,65.9,51.4,36.2,15,92,74.9,168,76.6,92.4,211,164,76.1,2864.05
ONOS fwd,53.8,60.3,50.6,117,33.9,10.3,60.7,5.7,48.8,5.97,26.7,8.61,260,82.5,483,131,65.3,5.59,46.5,14.1,60.9,34.9,48.6,197,184,73.9,142,64.1,249,73.1,97.4,71.4,2866.67
ONOS fwd,72.8,11.8,76.1,9.94,9.17,55.4,65.1,42.2,74.6,27.6,68.5,23.8,353,181,264,158,44.3,6.15,152,61.5,76.6,11.4,50.7,15.7,207,115,115,78.1,118,78.5,165,78.2,2866.16
ONOS fwd,75.9,36.5,60.9,19.7,7.07,12.6,22.3,14.9,52.7,11.5,418,7.08,320,145,181,310,77.6,6.15,40.2,21.1,34.7,15.5,15.1,6.71,230,87,84.8,86.9,157,87.1,135,87,2867.01
ONOS fwd,72,15.8,75.2,66.7,6.66,57.3,61.8,6.74,95.9,7.85,67.5,14.3,312,159,298,185,56.5,6.05,104,9.15,71.7,41.4,75,41.2,156,85.1,175,85,183,85.7,97.7,86.1,2860.35
ONOS fwd,81.9,69.9,65.6,28.9,12,12.2,73.1,22.8,81.1,64.8,72.8,51.1,342,148,333,133,58.8,56.5,8.08,14.3,93.7,16.2,55.8,16,98.5,79.9,88.8,79.3,188,80.5,259,80.8,2866.38
ONOS fwd,42.5,29.1,45.4,73.5,7.34,60,74,7.79,69.1,71.8,67.4,11.8,382,144,322,107,74.2,6.48,72.4,15.9,75.4,16.6,72.9,61.4,136,87.3,115,86,168,92.8,185,84.7,2864.81
ONOS fwd,54,8.31,70.7,12.8,71.9,66.5,24.9,66.4,76.7,52.8,37.1,66.4,307,134,423,92,76.5,5.96,53,10.5,59.6,31.7,57.5,52.5,111,81.1,195,78.4,200,80,95.3,116,2868.57
ONOS fwd,41.2,65.8,68.3,7.42,20.3,12.7,31.5,36.1,62.8,50.4,70.7,15.1,396,94.1,300,164,44.4,5.82,133,34.2,52,44.6,114,44.5,167,148,141,77.8,170,77.7,95.7,77.3,2863.44
ONOS fwd,54.9,55.3,68.9,20.6,79.6,25.4,70.3,6.29,71.6,12.2,124,27.3,338,101,308,208,72,32.8,58.5,26.7,45.6,20,50.3,34.1,201,111,82.6,128,92.7,72.7,194,73.6,2866.99
ONOS fwd,65.7,66,62.4,23.8,6.43,33.9,56.9,47.5,38,55,75.3,60.3,414,104,336,103,45.6,5.89,75.5,65,33.2,8.61,73.4,56.9,186,83,166,81.6,167,80.5,109,81.4,2866.83
ONOS fwd,75.7,25.7,80.5,40.2,12.6,6.69,69.5,37.9,74.8,9.57,86.3,27.3,292,215,306,143,75.4,7.11,80.9,23.1,74.5,5.95,81.1,60.8,157,74.2,128,73.8,194,74,123,131,2866.62
ONOS fwd,75.9,27.3,77.7,11.2,6.94,62.3,76.7,18.6,71.9,58.4,62.9,27.4,424,115,295,121,72.3,11.6,72,6.43,75.4,6.76,76.3,56.4,142,192,208,79,87.2,78.1,87,82.3,2865.03
ONOS fwd,122,41.8,43,6.64,42,24.2,75.6,31.3,75.4,58.2,40.9,65.1,371,194,286,104,69.6,6.01,70.6,6.18,73.9,5.98,56.9,40.4,101,85.2,275,118,102,83.1,108,84.4,2867.41
ONOS fwd,50.4,27.9,76.4,11.1,34,50.7,74.7,14.8,66.2,48.6,57.8,65,306,176,280,194,53.9,6.03,71,6.03,42.2,6.1,184,7.85,90.6,86.4,111,86.3,313,83.1,100,84.5,2865.61
ONOS fwd,79.7,26.3,65.4,62.2,6.58,46.1,68.7,59.8,73.3,54.4,100,6.88,416,127,308,104,71.5,28.8,72.3,7.08,43.3,5.98,66.3,11.1,89.4,95.6,93.3,119,175,123,182,78.3,2866.32
ONOS fwd,56.1,19.2,74.2,29.8,7.85,71.7,68.7,38.7,41.5,71.4,70.3,70.7,318,155,370,112,78.7,6.45,75.3,6.42,77.9,6.47,67.7,15.6,101,99.6,137,85,274,84.4,93.2,81.6,2865.49
ONOS fwd,78.5,113,107,8.91,11.5,19.8,71.8,43,71.7,25.3,45.6,68.6,440,147,260,107,78.5,6.63,71.2,6.66,47.4,6.64,66.7,7.03,93.5,90.2,98.5,80.1,134,150,234,74.3,2864.07
ONOS fwd,82.2,70.4,78.7,17.5,60.5,20.7,78.9,39,46.3,18.3,75.8,24.7,400,105,344,106,81,6.4,67.2,6.62,80.4,6.62,71.6,20.8,103,83.4,123,262,102,83.3,115,83.3,2863.64
ONOS fwd,68.6,72.9,50.9,82,9.54,45.9,57.4,64.7,70.4,43.5,10.2,57.4,500,94.6,264,96.4,62.8,6.79,67.9,6.76,68.9,27.3,71.6,9.17,91.4,86.3,278,87.2,83.5,86.8,155,85.9,2863.76
ONOS fwd,71,27.4,64.1,57.7,9.63,45.6,58.2,21.6,63.3,28.9,74.1,28.4,407,139,238,171,65,11.3,33.8,32.7,70.8,6.63,159,25.2,172,91.4,185,88.8,95.9,88.9,143,89.5,2863.86
ONOS fwd,116,62.3,27.5,12.8,6.87,49.4,48.5,29.8,97.6,45,64.5,36.1,279,180,341,156,11.1,6.38,182,5.58,76.2,5.65,49.8,23,190,72.7,161,73.8,178,75.7,82.6,121,2866.88
ONOS fwd,73.4,20.4,70.2,24.7,40,66.1,71.8,62.2,75.1,27.1,76.3,25.4,378,94.2,232,251,41.9,6.1,57.6,12.4,76.1,6.07,70.6,50.7,178,77,277,76.8,91.8,77.2,99.8,76.9,2863.87
ONOS fwd,99.1,39.3,73.5,36.9,57.7,27.8,62.5,38.9,77.4,24.5,74.1,43.7,364,164,289,139,8.01,6.48,74,6.49,68.8,37.6,68.7,28.7,177,90.5,214,90.1,104,90.2,99.1,89.9,2864.98
ONOS fwd,75.3,42.4,82.3,32.4,6.74,8.52,79.4,33.2,76,67.6,79.1,28.2,378,127,341,108,86.8,11.3,81.5,6.7,67.5,6.47,70.4,12.6,159,139,101,86.3,105,159,120,85.3,2863.03
