deviceId=of:000000000000000c, flowRuleCount=292
deviceId=of:000000000000000d, flowRuleCount=148
deviceId=of:000000000000000a, flowRuleCount=364
deviceId=of:000000000000000b, flowRuleCount=4
deviceId=of:000000000000000e, flowRuleCount=172
deviceId=of:000000000000000f, flowRuleCount=4
deviceId=of:0000000000000010, flowRuleCount=4
deviceId=of:0000000000000003, flowRuleCount=82
deviceId=of:0000000000000004, flowRuleCount=412
deviceId=of:0000000000000001, flowRuleCount=4
deviceId=of:0000000000000002, flowRuleCount=142
deviceId=of:0000000000000007, flowRuleCount=88
deviceId=of:0000000000000008, flowRuleCount=88
deviceId=of:0000000000000005, flowRuleCount=172
deviceId=of:0000000000000006, flowRuleCount=268
deviceId=of:0000000000000009, flowRuleCount=172
