iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 83
-----------------------------------------------------------
Accepted connection from 10.0.0.3, port 49372
[  5] local 10.0.0.10 port 83 connected to 10.0.0.3 port 49416
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  1.68 MBytes  14.1 Mbits/sec                  
[  5]   1.00-2.00   sec   738 KBytes  6.05 Mbits/sec                  
[  5]   2.00-3.00   sec   734 KBytes  6.01 Mbits/sec                  
[  5]   3.00-4.00   sec   713 KBytes  5.84 Mbits/sec                  
[  5]   4.00-5.00   sec   713 KBytes  5.84 Mbits/sec                  
[  5]   5.00-6.00   sec   691 KBytes  5.66 Mbits/sec                  
[  5]   6.00-7.00   sec   708 KBytes  5.80 Mbits/sec                  
[  5]   7.00-8.00   sec   704 KBytes  5.77 Mbits/sec                  
[  5]   8.00-9.00   sec   725 KBytes  5.94 Mbits/sec                  
[  5]   9.00-10.00  sec   704 KBytes  5.77 Mbits/sec                  
[  5]  10.00-11.00  sec   700 KBytes  5.73 Mbits/sec                  
[  5]  11.00-12.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  12.00-13.00  sec   708 KBytes  5.80 Mbits/sec                  
[  5]  13.00-14.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  14.00-15.00  sec   704 KBytes  5.77 Mbits/sec                  
[  5]  15.00-16.00  sec   708 KBytes  5.80 Mbits/sec                  
[  5]  16.00-17.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  17.00-18.00  sec   708 KBytes  5.80 Mbits/sec                  
[  5]  18.00-19.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  19.00-20.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  20.00-21.00  sec   704 KBytes  5.77 Mbits/sec                  
[  5]  21.00-22.00  sec   713 KBytes  5.84 Mbits/sec                  
[  5]  22.00-23.00  sec   734 KBytes  6.01 Mbits/sec                  
[  5]  23.00-24.00  sec   730 KBytes  5.98 Mbits/sec                  
[  5]  24.00-25.00  sec   717 KBytes  5.87 Mbits/sec                  
[  5]  25.00-26.00  sec   691 KBytes  5.66 Mbits/sec                  
[  5]  26.00-27.00  sec   658 KBytes  5.39 Mbits/sec                  
[  5]  27.00-28.00  sec   675 KBytes  5.53 Mbits/sec                  
[  5]  28.00-29.00  sec   670 KBytes  5.49 Mbits/sec                  
[  5]  29.00-30.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  30.00-31.00  sec   675 KBytes  5.53 Mbits/sec                  
[  5]  31.00-32.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  32.00-33.00  sec   670 KBytes  5.49 Mbits/sec                  
[  5]  33.00-34.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  34.00-35.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  35.00-36.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  36.00-37.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  37.00-38.00  sec   679 KBytes  5.56 Mbits/sec                  
[  5]  38.00-39.00  sec   670 KBytes  5.49 Mbits/sec                  
[  5]  39.00-40.00  sec   658 KBytes  5.39 Mbits/sec                  
[  5]  40.00-41.00  sec   636 KBytes  5.21 Mbits/sec                  
[  5]  41.00-42.00  sec   653 KBytes  5.35 Mbits/sec                  
[  5]  42.00-43.00  sec   649 KBytes  5.32 Mbits/sec                  
[  5]  43.00-44.00  sec   641 KBytes  5.25 Mbits/sec                  
[  5]  44.00-45.00  sec   662 KBytes  5.42 Mbits/sec                  
[  5]  45.00-46.00  sec   658 KBytes  5.39 Mbits/sec                  
[  5]  46.00-47.00  sec   662 KBytes  5.42 Mbits/sec                  
[  5]  47.00-48.00  sec   467 KBytes  3.82 Mbits/sec                  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  50.00-50.64  sec  0.00 Bytes  0.00 bits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-50.64  sec  33.2 MBytes  5.50 Mbits/sec                  receiver
