-----------------------------------------------------------
Server listening on 81
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 36548
[  5] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36550
[  8] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36552
[ 10] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36554
[ 12] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36556
[ 14] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36558
[ 16] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36560
[ 18] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36562
[ 20] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36564
[ 22] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36566
[ 24] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36568
[ 26] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36570
[ 28] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36572
[ 30] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36574
[ 32] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36576
[ 34] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36578
[ 36] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36580
[ 38] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36582
[ 40] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36584
[ 42] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36586
[ 44] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36588
[ 46] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36590
[ 48] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36592
[ 50] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36594
[ 52] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36596
[ 54] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36598
[ 56] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36600
[ 58] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36602
[ 60] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36604
[ 62] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36606
[ 64] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36608
[ 66] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36610
[ 68] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36612
[ 70] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36614
[ 72] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36616
[ 74] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36618
[ 76] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36620
[ 78] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36622
[ 80] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36624
[ 82] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36626
[ 84] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36628
[ 86] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36630
[ 88] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36632
[ 90] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36634
[ 92] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36636
[ 94] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36638
[ 96] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36640
[ 98] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36642
[100] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36644
[102] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36646
[104] local 10.0.0.10 port 81 connected to 10.0.0.1 port 36648
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  2.30 MBytes  19.3 Mbits/sec                  
[  8]   0.00-1.00   sec   622 KBytes  5.10 Mbits/sec                  
[ 10]   0.00-1.00   sec   708 KBytes  5.80 Mbits/sec                  
[ 12]   0.00-1.00   sec   696 KBytes  5.70 Mbits/sec                  
[ 14]   0.00-1.00   sec   690 KBytes  5.65 Mbits/sec                  
[ 16]   0.00-1.00   sec   666 KBytes  5.46 Mbits/sec                  
[ 18]   0.00-1.00   sec  2.53 MBytes  21.2 Mbits/sec                  
[ 20]   0.00-1.00   sec   660 KBytes  5.41 Mbits/sec                  
[ 22]   0.00-1.00   sec  1.86 MBytes  15.6 Mbits/sec                  
[ 24]   0.00-1.00   sec  1.87 MBytes  15.7 Mbits/sec                  
[ 26]   0.00-1.00   sec  4.10 MBytes  34.4 Mbits/sec                  
[ 28]   0.00-1.00   sec  1.83 MBytes  15.4 Mbits/sec                  
[ 30]   0.00-1.00   sec  2.45 MBytes  20.6 Mbits/sec                  
[ 32]   0.00-1.00   sec  2.10 MBytes  17.7 Mbits/sec                  
[ 34]   0.00-1.00   sec  1.82 MBytes  15.3 Mbits/sec                  
[ 36]   0.00-1.00   sec  1.82 MBytes  15.2 Mbits/sec                  
[ 38]   0.00-1.00   sec  6.12 MBytes  51.3 Mbits/sec                  
[ 40]   0.00-1.00   sec   913 KBytes  7.48 Mbits/sec                  
[ 42]   0.00-1.00   sec  1.45 MBytes  12.1 Mbits/sec                  
[ 44]   0.00-1.00   sec  4.24 MBytes  35.5 Mbits/sec                  
[ 46]   0.00-1.00   sec  2.10 MBytes  17.7 Mbits/sec                  
[ 48]   0.00-1.00   sec   905 KBytes  7.41 Mbits/sec                  
[ 50]   0.00-1.00   sec  1.66 MBytes  13.9 Mbits/sec                  
[ 52]   0.00-1.00   sec  1.80 MBytes  15.1 Mbits/sec                  
[ 54]   0.00-1.00   sec  2.57 MBytes  21.6 Mbits/sec                  
[ 56]   0.00-1.00   sec  3.19 MBytes  26.8 Mbits/sec                  
[ 58]   0.00-1.00   sec   872 KBytes  7.15 Mbits/sec                  
[ 60]   0.00-1.00   sec  6.01 MBytes  50.4 Mbits/sec                  
[ 62]   0.00-1.00   sec  6.03 MBytes  50.6 Mbits/sec                  
[ 64]   0.00-1.00   sec  6.07 MBytes  50.9 Mbits/sec                  
[ 66]   0.00-1.00   sec  1.77 MBytes  14.8 Mbits/sec                  
[ 68]   0.00-1.00   sec  6.07 MBytes  50.9 Mbits/sec                  
[ 70]   0.00-1.00   sec  2.11 MBytes  17.7 Mbits/sec                  
[ 72]   0.00-1.00   sec  2.07 MBytes  17.4 Mbits/sec                  
[ 74]   0.00-1.00   sec   884 KBytes  7.24 Mbits/sec                  
[ 76]   0.00-1.00   sec  2.08 MBytes  17.4 Mbits/sec                  
[ 78]   0.00-1.00   sec   884 KBytes  7.24 Mbits/sec                  
[ 80]   0.00-1.00   sec  4.20 MBytes  35.2 Mbits/sec                  
[ 82]   0.00-1.00   sec   880 KBytes  7.20 Mbits/sec                  
[ 84]   0.00-1.00   sec  1.79 MBytes  15.0 Mbits/sec                  
[ 86]   0.00-1.00   sec   875 KBytes  7.17 Mbits/sec                  
[ 88]   0.00-1.00   sec  1.41 MBytes  11.9 Mbits/sec                  
[ 90]   0.00-1.00   sec   871 KBytes  7.13 Mbits/sec                  
[ 92]   0.00-1.00   sec  3.80 MBytes  31.9 Mbits/sec                  
[ 94]   0.00-1.00   sec   872 KBytes  7.15 Mbits/sec                  
[ 96]   0.00-1.00   sec  3.14 MBytes  26.3 Mbits/sec                  
[ 98]   0.00-1.00   sec  3.48 MBytes  29.2 Mbits/sec                  
[100]   0.00-1.00   sec  1.09 MBytes  9.17 Mbits/sec                  
[102]   0.00-1.00   sec  2.55 MBytes  21.4 Mbits/sec                  
[104]   0.00-1.00   sec  2.47 MBytes  20.7 Mbits/sec                  
[SUM]   0.00-1.00   sec   114 MBytes   954 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec  2.05 MBytes  17.2 Mbits/sec                  
