-----------------------------------------------------------
Server listening on 91
-----------------------------------------------------------
Accepted connection from 10.0.0.11, port 36108
[  5] local 10.0.0.3 port 91 connected to 10.0.0.11 port 36188
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  12.9 MBytes   108 Mbits/sec                  
[  5]   1.00-2.00   sec  14.3 MBytes   120 Mbits/sec                  
[  5]   2.00-3.00   sec  14.7 MBytes   124 Mbits/sec                  
[  5]   3.00-4.00   sec  14.9 MBytes   125 Mbits/sec                  
[  5]   4.00-5.00   sec  15.0 MBytes   126 Mbits/sec                  
[  5]   5.00-6.00   sec  14.9 MBytes   125 Mbits/sec                  
[  5]   6.00-7.00   sec  15.0 MBytes   126 Mbits/sec                  
[  5]   7.00-8.00   sec  15.0 MBytes   126 Mbits/sec                  
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec                  
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  13.00-14.00  sec   460 KBytes  3.76 Mbits/sec                  
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec                  
[  5]  17.00-18.00  sec  28.3 KBytes   232 Kbits/sec                  
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  20.00-21.00  sec  16.4 MBytes   137 Mbits/sec                  
[  5]  21.00-22.00  sec  42.1 MBytes   353 Mbits/sec                  
[  5]  22.00-23.00  sec  40.3 MBytes   338 Mbits/sec                  
[  5]  23.00-24.00  sec  40.4 MBytes   339 Mbits/sec                  
[  5]  24.00-25.00  sec  45.5 MBytes   382 Mbits/sec                  
[  5]  25.00-26.00  sec  51.1 MBytes   429 Mbits/sec                  
[  5]  26.00-27.00  sec  50.8 MBytes   426 Mbits/sec                  
[  5]  27.00-28.00  sec  47.3 MBytes   397 Mbits/sec                  
[  5]  28.00-29.00  sec  45.8 MBytes   384 Mbits/sec                  
[  5]  29.00-30.00  sec  46.2 MBytes   387 Mbits/sec                  
[  5]  30.00-31.00  sec  47.0 MBytes   394 Mbits/sec                  
[  5]  31.00-32.00  sec  46.3 MBytes   388 Mbits/sec                  
[  5]  32.00-33.00  sec  50.0 MBytes   419 Mbits/sec                  
[  5]  33.00-34.00  sec  50.3 MBytes   422 Mbits/sec                  
[  5]  34.00-35.00  sec  50.4 MBytes   423 Mbits/sec                  
[  5]  35.00-36.00  sec  51.9 MBytes   435 Mbits/sec                  
[  5]  36.00-37.00  sec  51.8 MBytes   435 Mbits/sec                  
[  5]  37.00-38.00  sec  48.6 MBytes   408 Mbits/sec                  
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  54.00-iperf3: interrupt - the server has terminated
55.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  79.00-79.82  sec  0.00 Bytes  0.00 bits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-79.82  sec   939 MBytes  98.7 Mbits/sec                  receiver
