application,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,Aggregate
ONOS fwd,76,67.6,76.2,77.1,17.3,145,102,6.96,44.7,61.2,37.6,72.8,34.2,50.7,51,34,50.5,20.4,54.8,74.7,50,38.1,4.57,50.2,52,56,85.4,45.3,177,75.5,69.8,50.3,1908.93
ONOS fwd,12.7,30.4,89.4,24.8,11.9,65.2,9.32,60.6,67,70.1,49,33.4,12.9,131,158,130,74.7,76,76.4,78.6,14.8,28.2,69.7,25.9,76.4,63.6,58.5,72.6,34.8,8.4,141,54.3,1909.62
ONOS fwd,74.4,42.1,87.7,57.4,73.1,64.8,17.3,35.9,46.8,12.9,74.1,73.4,38.5,63.7,148,45.8,72.6,66.1,61,61.7,49.4,38.4,66.1,53.5,73.5,55,65.8,61.9,45.2,69.7,65.9,48.6,1910.3
ONOS fwd,74.1,73.7,67.3,69.5,73.6,59.1,12.1,67.7,43.6,57.9,44.3,29.3,73,81.3,59.7,67,72.7,72.6,72.7,70.1,31,58,62,70.7,68.4,63,71.5,50.9,63.2,19.1,59.1,47.8,1906
ONOS fwd,12.4,70.8,66.1,55.5,28.7,61.7,68.8,68.9,67,71.6,63.3,68.5,63.1,58.1,70,58.1,75.9,59.3,55.9,72.6,64.5,56.5,73.1,72.1,73.1,62,70.6,42.8,43.2,61.1,27,42.5,1904.8
ONOS fwd,56.1,69.6,69.6,62.9,28.6,130,21.6,10.9,7.75,21.1,69,45.6,8.49,147,136,68.4,73.9,54.9,66.6,71.3,49.2,32.3,45.6,59.4,70.9,57.7,70.6,108,51.5,44.5,41.5,54.2,1904.74
ONOS fwd,46.6,53.5,45.9,62.8,73.6,59,73.4,41.2,73.9,72.5,68.7,71.3,35,69.6,51.6,55.1,74.2,35.6,74.2,51.8,73.7,73.6,38.4,71.4,23.4,30.1,129,75.2,8.11,61.9,65.7,66.5,1906.51
ONOS fwd,73.2,29.4,95.3,56.7,13.5,49.5,72.1,46.2,63,55.1,59.5,53.7,72.1,39.8,26.8,147,68.4,60.8,52.3,75.1,36.1,50.2,52,47.6,41.3,71.8,56.2,83.1,66,49.5,71,70.5,1904.8
ONOS fwd,70.6,42.5,70,45.6,36,38.6,66.4,42.8,54.1,52.9,35.6,40.7,10.6,40.3,177,133,66.2,50.3,35.1,76.6,51,128,71.1,28.9,62.1,152,39.2,66.6,19.9,7.07,51.4,48.8,1910.97
ONOS fwd,48.4,72.9,73,73.4,60.1,72.1,38.1,72.4,34.4,72.4,68,57.2,67.6,71.2,6.97,65.6,73.5,56.1,75,68.5,6.72,74.6,73.6,45,54.8,66.3,75.8,75.7,39.7,54.5,43.3,69.9,1906.79
ONOS fwd,74.6,75,67.3,72.1,62.8,60.5,11.7,72,73.9,63,57.4,74.3,68.4,6.6,70.9,43.6,23.5,74,77.9,33.6,60.7,63.7,8.02,8.28,64.9,55.7,30.3,71.1,112,29.3,59.9,180,1907
ONOS fwd,14.9,58.5,91.7,22.5,49.4,61.6,7.69,8.2,56.9,7.63,68.8,60,191,5.65,187,62.5,76.2,58.6,75.2,68.7,6.13,62.8,57.7,44.3,74.2,75.5,71.3,76.4,58.1,74.8,49.4,22.9,1906.2
ONOS fwd,50.7,7.46,44.1,71.2,44.2,7.57,22.4,67.2,48.8,23.1,24.9,72.7,33.9,6.49,282,146,71.9,9.81,25.8,29.4,9.5,20.4,35.7,63.1,49.9,46.7,356,72.2,19,68.5,12,61.3,1903.93
ONOS fwd,73.6,64.1,71.6,61.4,74.9,75.1,54.4,52.2,50.3,52.5,71,72.9,74.7,6.76,60.3,35.8,66.4,73,64.7,120,12.8,17.9,71.6,64.4,64.4,72.9,70.1,73,26,58.8,37.4,58.6,1903.56
ONOS fwd,96.9,73.9,77.7,76.6,118,41.3,41.1,50.6,77.9,68.9,77.6,81,16.8,6.54,39,10.1,15.8,49.5,56.1,41.8,6.32,28.3,64,20.5,9.85,13.7,117,28.1,65.8,49.4,33.4,355,1908.51
ONOS fwd,71.3,28,59.7,62.6,68,65.8,93,36.3,70.9,64.9,68.9,72.3,52.1,6.41,62.6,70.3,69.7,72.6,72.6,69.3,6.82,28.9,67.6,68.9,46.5,68.6,70.2,72.2,49.3,54.3,67.5,68,1906.13
ONOS fwd,76.8,76.9,70,51.3,81.2,72.1,71,77.3,59.7,68.8,57.9,74.5,14.7,36.8,50,15.7,73.5,38.5,76.2,73.3,6.82,69.3,56.5,61.9,80.4,64.8,57.8,76.4,59.8,6.8,74.8,74.9,1906.42
ONOS fwd,73.6,23.2,43.6,63.8,30.4,8.33,69.9,72.8,42,126,68.5,44.3,71.5,6.56,145,64.3,75.8,67.4,72.7,79.3,8.48,64.2,47.4,72.2,29,77.1,63.8,76.9,59.4,6.88,76,75.8,1906.15
ONOS fwd,77.6,30.4,43,77.1,152,10.1,17,78.8,56,15,28,148,75.8,6.9,59.9,76.4,76.7,79.3,71.9,80.3,32.6,76.6,28.8,72.5,71.6,69.7,48.5,87.5,63,7.09,7.92,76.5,1902.51
ONOS fwd,43.9,51,30.4,53,65.4,33,304,65.9,22.8,35.2,68.2,64.6,28.6,5.93,53.7,28.8,79.1,80.7,80.5,81,6.62,67.1,63,36.9,7.26,90.7,96.1,80,62,7.84,45.1,68.4,1906.75
ONOS fwd,65.7,39.3,80.8,69.9,68.8,62.7,68.7,54.8,48.5,58.4,56.7,68.1,38.2,7.95,48.6,117,59,116,65.2,56.1,59.3,65.4,66.8,65.2,6.41,61.9,69.3,69.4,47.9,34.3,68.7,42.4,1907.46
