application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,28.3,54.3,39.8,17.7,46,51.8,52.7,4.84,8.15,41.1,140,111,440,63.3,393,57.5,55.6,29.2,61.9,6.87,71.2,28.7,53.9,53.4,203,144,120,20.7,101,68.2,95.6,204,2866.76
ONOS fwd,60.2,45.2,77.7,49.4,37.8,20.4,80.1,9.53,59.4,10.3,69.9,9.28,459,142,249,104,41.3,67.4,68.7,43.3,69.8,25.1,76.9,31.1,95.7,97.2,113,97.5,130,103,218,97.4,2858.61
ONOS fwd,71.2,47.4,57.1,19.5,69.6,32.3,27.6,6.82,71.5,22.1,71.8,60.4,340,108,321,182,67.5,11.5,63.5,66.4,68,14.6,62.6,38.5,98.5,93.8,168,83.5,164,82.3,179,81.7,2851.72
ONOS fwd,74.5,50.1,73.4,8.61,75.5,16.3,72,19.9,29.4,8.42,55.7,65.5,434,85.5,221,213,71.2,10.2,56.8,62.8,72.4,30.5,62.7,35.6,96.3,86.6,238,86.2,99.4,86.1,174,85.8,2857.43
ONOS fwd,74.3,30.7,75.1,19.6,77.9,21.8,66.6,38.2,71.6,70.5,66.3,14.7,264,211,320,161,78.6,16.2,61.6,20.6,66.3,17.3,54.6,11.9,101,81.5,98.6,74.3,221,82.8,213,82.2,2864.8
ONOS fwd,135,12.3,57.1,8.06,39.6,56,125,6.7,71.6,26.9,47.8,7.7,338,124,335,158,74.1,15.5,29.7,48.3,74.1,16.1,51.9,50.5,98.9,86.7,167,126,124,124,142,86.6,2864.16
ONOS fwd,65.8,48.8,70.4,57.5,68,6.7,39.9,66.1,69.5,48.6,70.1,42.4,323,159,370,102,23.2,26.7,64.6,8.77,22.2,42.5,58.8,54.1,174,75,197,75.6,209,72.6,84.3,67.1,2863.27
ONOS fwd,49.5,38.3,74.9,23.2,71.9,36.4,75.3,26.8,79.3,6.25,67,42.3,242,131,402,179,76.3,27.7,41.5,17.8,89.7,9.04,74.8,25.8,126,93,106,93,219,92.3,112,111,2860.09
ONOS fwd,229,23.3,71.7,19.4,45.9,6.72,41.9,21,71.3,10.4,66.5,22,309,101,247,298,66.8,13.2,74.6,18.1,29.5,25.3,73.8,23,103,93.1,267,92.8,102,92.6,111,92.3,2862.22
ONOS fwd,75.9,36.5,62.9,26.1,70.9,6.6,65.4,28.2,74.2,45,65.7,34.1,388,180,286,99.9,45,14.3,57.7,46.9,75.2,17.6,71.3,32.9,99.3,138,211,83.3,125,83.6,133,79.8,2859.3
ONOS fwd,77.4,29.9,71.3,68.5,34.7,29,94.2,9.24,47.6,36.2,62.5,57.9,276,88.3,304,287,77.3,10.3,73.3,9.54,76.6,7.78,73.8,7.32,130,79.1,95.8,78.8,236,79.2,181,75.3,2864.88
ONOS fwd,9.97,37.3,75.6,25.8,54,44.5,73.7,44.5,63.4,14.3,73.1,8.97,465,176,215,99.7,69.6,7.55,113,34,38.3,31.1,83.3,52.6,92.8,106,183,89.6,162,90.9,140,90.9,2865.49
ONOS fwd,77.3,19.7,50.2,62.6,46,20.3,72.1,16.8,107,34.1,55.9,132,284,160,328,183,15.1,19,67.1,13.3,49.4,15,72.2,8.83,277,51.4,125,74.4,99.9,67.5,184,75.1,2863.23
ONOS fwd,44.5,11.3,34.9,45.1,179,35.7,67.3,7.12,75.7,27.9,67.7,61.6,256,226,376,96.5,64.5,19,66.5,12.8,38.3,7.69,59.6,25.6,116,74.7,149,83.7,179,132,134,85.2,2859.91
ONOS fwd,38.7,26.4,67.4,9.2,66.4,7.05,65.5,18.2,71.7,65.7,54.2,34.2,311,212,341,89.6,51.8,56.1,69.4,65.2,68,18.3,55,43.2,161,74.4,90.3,77.7,184,77.3,210,78.2,2858.15
ONOS fwd,63.2,33.7,65.2,15.6,63.5,57.4,71.7,35,41.5,10.5,70.3,8.09,398,97.3,234,225,66,7.2,59,30.8,67.7,67.8,65.5,52.7,95.6,78,213,78.1,158,78.1,175,77.6,2860.09
ONOS fwd,76.2,39,74.4,9.32,41.7,15.6,73.9,28.3,78.5,28.3,32,45.2,354,115,377,108,77.2,38.1,44.6,41.5,70.8,25.8,72.5,40.4,162,83.5,128,160,93.7,90.6,153,84.1,2862.22
ONOS fwd,76.9,32.5,45.8,31.6,56.4,19.7,40.7,30.8,73.6,39.7,24.9,8.84,428,101,321,102,48.2,21.6,48.7,30.6,74.2,206,25.1,16.5,96.9,71.1,276,81.8,97.2,82.6,169,76.5,2855.44
ONOS fwd,79,42.2,77,12.2,78.7,15.9,76.3,29.1,70.9,19.9,81.5,44.2,301,92.7,260,300,78.6,52.3,48.3,11.3,65.1,8.25,51.3,11.8,113,76.7,246,78.7,167,79.4,114,78.9,2861.25
ONOS fwd,75.7,35.7,61,10.3,62.9,24.8,54.7,67.6,67.2,42.7,67.4,11.2,265,94.1,422,174,71.1,28.1,41.7,26.8,73,69.7,30.9,30.4,174,83.5,187,84.1,165,85.9,89.7,84.1,2861.3
ONOS fwd,65.9,14.5,75.4,8.78,150,36.5,60.6,37.2,73.5,7.66,84.1,30.6,249,207,394,104,60.3,10.2,51.8,35.1,48.6,9.12,66.8,27.2,143,94.4,111,101,163,135,110,95.3,2860.56
ONOS fwd,78.1,19.5,75.2,10.9,77.1,64.6,77.2,33.4,77.9,8.58,76.8,14.5,284,200,368,102,57,7.11,69.3,29.1,78.7,7.81,76.2,14,195,99,102,91.8,106,157,108,93.3,2859.1
ONOS fwd,17.4,57.6,75.4,33.2,50.2,63,73,14.2,69.9,14.1,69.5,9.69,328,153,303,171,68,19.6,47.4,52.7,59.9,65.1,71.7,22.5,192,71.4,227,66.5,169,72.2,87.1,68.1,2862.39
ONOS fwd,65.9,143,51.9,31.3,36.9,7.12,70.2,9.6,55.4,53.8,69.1,5.61,344,86,337,188,70.7,8.57,71.2,6.88,68.6,22.1,67.3,38.3,191,73.7,108,113,122,63.2,179,105,2863.38
ONOS fwd,66,13.8,74.2,6.34,54.4,61.6,87.4,53.3,52.5,6.69,62.6,59.7,500,131,214,108,35.8,27.2,71.1,6.89,67.2,58.9,74.6,11.6,98.3,74.6,217,78.3,78.5,78.2,152,176,2857.72
ONOS fwd,153,58.1,66.3,7.55,61.9,6.88,35.3,31.1,52,69.2,24.3,66.3,273,122,464,95.9,64.1,53,47.8,10,48.9,24.7,59.2,14.8,193,114,122,93.3,109,93.2,136,93.3,2863.13
ONOS fwd,140,10.1,75.2,16.3,70,73.7,62,68.5,63.2,8.82,73.6,18,384,171,297,101,37,10.6,9.54,38.6,62.6,8.24,97.3,9.08,107,93.3,160,127,89.8,102,178,93.7,2856.18
ONOS fwd,73.7,49,75.3,24.5,62.8,58.6,62.2,10.7,73.1,59.3,73.7,7.33,356,117,381,101,73.3,12.1,44.4,31.1,52.1,12.1,71.1,28.8,91.2,85.5,156,86.2,174,86.2,90.7,185,2865.03
ONOS fwd,52.6,31.4,60.3,22.6,69.8,53,65.2,33.4,72.9,43.9,14.8,71.9,224,97,534,99.8,71.5,9.72,69.4,10.2,68.6,55.1,50.9,26.7,113,88.4,84.8,84.3,281,139,75.7,88.4,2863.32
ONOS fwd,71.1,61.6,71.3,44.3,65.8,29.1,54.1,20.9,57,9.75,66.3,47.3,374,89.9,271,221,70.3,21.1,59.1,11.9,68.1,52.7,60.7,11.9,93.7,116,222,68.6,155,73.8,150,75.1,2864.45
ONOS fwd,71,23.6,46.2,6.86,66.5,28.6,44.5,22.7,59.4,17.8,67.2,133,359,111,382,100,30.7,66.9,71.2,51.2,41.2,67.2,30.6,6.58,226,78.8,153,78.9,99.6,78.3,157,80.4,2856.94
ONOS fwd,31,6.47,62.9,11.1,74.6,68,154,6.17,58.2,27.5,42.4,16.1,390,133,263,169,63.8,8.85,76.7,27.9,75.1,12.9,63.9,68.1,104,78.7,105,151,158,85.1,188,84.9,2865.39
ONOS fwd,78.2,33.8,66.4,8.27,74.3,18.3,80.9,19.9,73.5,51.8,71.1,6.62,392,174,284,104,72,23.2,79,14.5,60.3,18.9,81.3,20.4,107,195,99.4,80.9,96.2,80.7,192,102,2859.89
ONOS fwd,76.4,20.7,34.2,70.9,55.1,43.8,69.4,16,44.4,15.9,69,46.7,384,172,287,110,112,25,39.2,15,73.9,10.7,48.1,66.4,104,87.3,310,89.4,103,74.2,96.8,88.3,2858.8
ONOS fwd,38.5,30.3,56.8,58.6,9.65,12.3,7.87,17.2,14.7,34.7,58,63.2,240,137,429,147,33.1,33.6,17.6,7.48,401,8.15,15.9,35.7,138,80.4,99.6,79.2,79.5,128,269,78.8,2859.85
ONOS fwd,67.8,53.6,78.1,27.1,71.3,52.3,68.9,15.5,6.37,37.9,72.9,7.98,285,166,389,114,60.5,22.8,80.3,10.3,71.9,28,46,72.7,92.2,86.2,113,86.5,300,85.7,103,86.4,2859.25
ONOS fwd,78.6,65.7,61.4,8.47,54.3,8.32,68.4,29,73,54.9,76.2,54.1,338,112,321,182,66.3,21.4,71.2,7.45,29.4,14.8,76.9,33.6,220,86.6,98.7,91.9,94.8,90.8,179,91,2859.24
ONOS fwd,88.7,20.3,74.4,52.5,36.9,10,67.1,37,56.8,35.9,80.8,10.4,424,105,321,104,51.5,20.6,100,11,51.7,9.87,81.7,57.2,87.2,207,117,90.2,159,90.3,111,92.5,2862.57
ONOS fwd,8.84,24.6,60.1,7.21,44.9,19.3,35.1,56.1,31.4,22.3,122,111,277,191,337,149,21.6,11.3,34.7,32.5,224,21.4,48.4,17.3,180,53.3,139,76.8,165,87.5,178,73,2860.65
ONOS fwd,62.3,45.9,70,32.4,72.5,16,75.9,7.48,39.2,38.1,72.4,131,305,143,373,134,57.3,21,58.4,7.52,46.1,13.2,68.5,19,144,87.3,110,84.2,228,86.9,127,86.7,2863.3
ONOS fwd,63,34.8,82.5,16.7,56.6,17.5,65.1,51.9,70.8,36.7,8.97,17.1,247,147,372,187,62.9,18.1,119,25.8,48.5,19.9,129,6.98,268,82.4,79.7,123,137,83.5,95.8,83.8,2858.05
ONOS fwd,8.67,61.2,62,28.5,59.7,58.5,45.3,67.3,77.9,56.4,55.9,20.8,262,119,422,150,52,35.7,25.8,42,138,17.3,24.2,15.5,198,74.3,90.2,73.8,157,64.5,228,68,2859.47
ONOS fwd,73.1,8.04,77.7,31.1,49.7,39.1,77.2,68.7,63.8,27.4,68.7,48.2,287,173,343,152,73.6,6.52,42.6,17.1,64,15.5,78.2,23.5,254,77.5,92.2,78.1,89.7,111,174,77.6,2862.86
ONOS fwd,75,6.36,40.5,6.34,61.5,67.2,66.1,6.78,70.8,15.8,66.5,8.42,245,244,279,187,63.9,6.57,72.1,26.4,60.6,51.4,163,18.3,86,77.5,174,77.6,293,76.6,92.9,76.7,2862.87
ONOS fwd,64.3,22.5,69.7,55.6,68.8,56.3,50.7,22.6,71.3,63.6,70.2,8.25,311,149,392,103,60.2,23.9,53.3,10.7,73.1,26.4,70.5,11.3,208,97.5,90.3,99.8,96.8,84.2,158,120,2862.85
ONOS fwd,72.2,7.3,77.3,20.5,55.3,72.8,77.4,38.6,40.3,16.2,69.7,41,282,131,402,140,9.07,7.43,75.7,29.7,73.1,18.5,78.7,72.9,302,79.1,86.9,98.2,120,91.2,87.1,89.2,2862.4
ONOS fwd,76.5,6.74,95.3,13.2,53.6,25.3,71.8,41.7,45.8,55.1,72.2,9.4,288,97.5,271,298,63,11.4,62.8,32.6,94.4,6.1,70.3,46.4,97.9,54.2,221,129,237,52.4,89.5,74,2863.14
ONOS fwd,72.5,67.9,73.1,23.5,62.2,14.9,74.7,6.62,58.7,29.5,30.3,15.5,347,109,338,161,40.7,38.8,74.5,21.8,125,32,69.7,22.4,149,131,98.1,85,99.8,110,196,86.3,2864.52
ONOS fwd,70.7,9.74,61.3,9.76,59.6,32.5,71.6,15.2,47.2,70.3,38.9,58.5,384,115,324,131,70.1,77.1,63.1,27.2,70.6,15.4,46.6,37.6,97.4,83.5,169,82.4,154,84.9,179,102,2859.2
ONOS fwd,74.9,17.6,65.8,18.6,121,32.2,51.1,24.9,66.9,30.9,64.9,40,318,233,246,158,66.9,13.7,75.1,13.1,72.7,25.2,68.2,10.4,132,85.2,207,80.5,102,85.4,176,85.7,2862.9
ONOS fwd,28.3,54.1,39.6,17.6,45.9,51.6,52.5,4.82,8.13,40.9,139,110,439,63.2,392,57.4,55.5,29.1,61.7,6.84,70.9,28.6,53.6,53.1,203,143,119,20.6,101,68,95.5,203,2856.49
ONOS fwd,60,45.1,77.5,49.3,37.7,20.4,79.9,9.49,59.2,10.2,69.8,9.25,458,142,248,104,41.2,67.3,68.5,43.2,69.6,25.1,76.7,31.1,95.5,97,113,97.3,130,103,217,97.2,2852.54
ONOS fwd,70.9,47.3,57,19.4,69.4,32.1,27.5,6.79,71.4,22,71.5,60.2,339,108,320,181,67.3,11.5,63.3,66.2,67.7,14.6,62.5,38.3,98.3,93.5,168,83.3,163,82.1,178,81.5,2842.59
ONOS fwd,74.4,49.9,73.3,8.58,75.3,16.3,71.8,19.9,29.3,8.4,55.6,65.3,433,85.3,220,212,71,10.2,56.7,62.7,72.1,30.4,62.6,35.5,96.1,86.4,237,85.9,99.2,85.9,173,85.6,2848.68
ONOS fwd,74.1,30.5,74.8,19.5,77.7,21.7,66.4,38,71.4,70.2,66.1,14.6,263,210,319,161,78.4,16.1,61.4,20.5,66.1,17.2,54.3,11.9,101,81.4,98.2,74.2,220,82.5,212,81.8,2855
ONOS fwd,135,12.3,57,8.03,39.4,55.9,124,6.67,71.3,26.8,47.7,7.67,337,124,334,158,73.8,15.4,29.6,48.2,73.9,16,51.8,50.4,98.6,86.5,166,125,123,123,141,86.4,2853.37
ONOS fwd,65.6,48.6,70.1,57.3,67.7,6.67,39.7,65.9,69.2,48.4,69.9,42.2,322,159,369,102,23.2,26.6,64.4,8.75,22.1,42.4,58.6,53.9,173,74.8,196,75.3,208,72.5,84.1,66.8,2853.72
ONOS fwd,49.4,38.2,74.7,23.1,71.7,36.4,75,26.7,79.1,6.23,66.9,42.2,242,130,401,179,76.1,27.6,41.3,17.8,89.5,9.01,74.6,25.7,126,92.8,106,92.8,218,92.2,112,111,2854.04
ONOS fwd,228,23.3,71.6,19.3,45.8,6.69,41.8,21,71.1,10.4,66.3,22,308,101,246,298,66.6,13.2,74.4,18.1,29.5,25.2,73.7,22.9,102,92.8,266,92.6,102,92.4,111,92.2,2854.89
