application,5_1,5_2,5_3,5_4,5_12,5_13,6_1,6_2,6_3,6_4,6_12,6_13,7_1,7_2,7_3,7_4,7_12,7_13,8_1,8_2,8_3,8_4,8_12,8_13,9_1,9_2,9_3,9_4,9_12,9_13,10_1,10_2,10_3,10_4,10_12,10_13,11_1,11_2,11_3,11_4,11_12,11_13,Aggregate
ONOS fwd,67.5,28.4,37.5,34.4,61.3,375,11.2,32.9,31.8,67.4,132,75.3,94.5,47.3,10.4,47.2,41.2,11.9,4.22,48.4,28.1,4.27,19.8,14.4,46,29,4.19,4.18,45.1,44.5,46.1,46.2,45.6,46.2,38.6,4.04,45.8,30.6,26.1,37.3,17.8,25,1908.7
ONOS fwd,54.1,75.5,80.1,70.2,81.6,80.9,80.4,76.4,79.3,78.8,114,80.5,206,47.8,69.9,36.9,67.5,15.4,26.9,12.1,9.9,9.61,59.5,12.4,24.8,44.8,11.5,24.1,8.6,7.55,19.5,15.3,27.6,35.2,7.19,23.6,27.4,33.2,8.15,8.34,8.28,39.4,1900.22
ONOS fwd,74.3,48.4,79.7,121,72,76.1,79.6,79.6,80.2,80.6,81.5,81.3,6.88,4.71,37.1,6.47,4.82,4.69,11.4,54.4,50.9,10.7,6.74,11.7,50.9,51.8,56.2,12.3,50.1,28.6,17.1,20.3,51.8,51.1,14.4,30.7,51,100,23.2,19.8,81.2,33.6,1908.91
ONOS fwd,80.9,79.1,81.3,125,78.3,71.1,79.5,55.7,74.7,81.2,67.2,77.4,47.3,51.5,9.95,7.45,6.13,51.2,13,12.6,27.5,13.6,26.4,32.6,20.5,6.44,7.66,27.4,53.1,25.2,6.52,12.3,6.51,20.8,256,11.3,65.8,30.5,9.62,15,8.25,65.7,1899.23
ONOS fwd,67.1,93.2,71.8,75.2,76.3,77,127,51.9,77.4,76.3,82.3,76.5,25.6,22,53.6,48.7,18.2,8.67,5.28,19.4,6.13,7.24,6.54,5.51,5.66,20,56.7,23.2,5.42,8.35,56.1,56.2,138,6.61,27.4,11.7,149,47.6,5.4,25.1,50.6,30.7,1902.61
ONOS fwd,46.8,74.9,121,79.6,79.1,79.5,75.9,78.6,77.9,78.9,78.1,79.7,25,9.09,66.5,28.9,24.1,8.39,8.17,11.2,10.6,15.9,65.5,34.8,182,24.4,14.8,65.5,11.5,6.65,11.1,165,13.3,13.2,8.1,6.95,14.6,35.4,6.91,26.5,11.4,23.3,1898.76
ONOS fwd,44.1,73.3,49.5,63.5,155,76.7,47.2,137,76.1,74.6,78.3,77.3,12,8.65,27.3,70.7,24.2,43.8,31.1,7.78,35.2,87.5,15.7,43.3,25,7.5,50.4,49.8,7.33,15.7,33.5,70.5,11.6,65.6,36,17.5,69.3,15.1,9.54,28.7,21.2,8.56,1902.66
ONOS fwd,84.6,57.3,102,73.8,73,73,73.6,67.5,73.2,73.2,73.4,128,31,50.1,5.02,5.13,4.95,41.5,23.5,5.25,12.2,12,8.99,6.31,54.1,6.39,53.4,5.04,26.6,54.1,54.2,53.7,7.22,11.9,35.1,23.2,18.3,53.5,53.6,136,42.4,53.8,1901.1
ONOS fwd,72.1,128,63.5,46.7,144,97.6,53.9,71.7,71.5,66.4,65.3,70.8,15.6,11.6,7.8,58.3,5.7,24.7,45,7.45,56.5,47.2,28.1,50.6,49,63.8,20.2,18.8,48.7,9.18,10.1,59.3,38.5,7.21,12.6,10.8,6.91,80.8,51.8,29.3,41.8,32.5,1901.35
ONOS fwd,68.3,86.3,60.4,78.4,86,85.2,86,81.6,81.4,67,86.1,86.4,11.3,6.41,34.4,34.2,6.12,68.4,23.4,21.5,38.9,17.7,7.98,24.3,14.8,28.8,14.9,56.5,44.6,67.4,36.2,67.2,14.7,67.7,13.5,6.27,65.8,31.8,10.9,32.2,15,67.7,1903.68
ONOS fwd,69.7,104,72.3,71.5,73.8,69.3,74.2,71.9,64.6,125,72.7,83.5,9.25,22.3,55.5,14.1,20.3,67.9,48.7,21,54.8,16.2,40.7,17.5,12.7,12,7.44,31.5,16.4,7.57,9.08,11.3,66.7,68.1,16.6,59.9,15.1,135,33.6,10.2,29.9,15.5,1899.34
