Users, Objects, TotalNode, Height, AverageDelay
600, 400, 4001, 1, 106519.0
1200, 800, 8001, 1, 21219.0
1800, 1200, 12001, 1, 19883.0
2400, 1600, 16001, 1, 19671.0
3000, 2000, 20001, 1, 16359.0
3600, 2400, 24001, 1, 17907.0
4200, 2800, 28001, 1, 27675.0
600, 400, 4001, 1, 25280.0
1200, 800, 8001, 1, 19835.0
1800, 1200, 12001, 1, 19275.0
2400, 1600, 16001, 1, 37049.0
3000, 2000, 20001, 1, 19450.0
3600, 2400, 24001, 1, 26958.0
4200, 2800, 28001, 1, 18784.0
4800, 3200, 32001, 1, 19339.0
5400, 3600, 36001, 1, 19465.0
6000, 4000, 40001, 1, 17514.0
600, 400, 8001, 2, 48992.0
1200, 800, 16001, 2, 51064.0
1800, 1200, 24001, 2, 47291.0
2400, 1600, 32001, 2, 50750.0
3000, 2000, 40001, 2, 52764.0
3600, 2400, 48001, 2, 336528.0
4200, 2800, 56001, 2, 49784.0
4800, 3200, 64001, 2, 47002.0
5400, 3600, 72001, 2, 47750.0
6000, 4000, 80001, 2, 42984.0
600, 400, 16001, 3, 128641.0
1200, 800, 32001, 3, 129022.0
1800, 1200, 48001, 3, 123385.0
2400, 1600, 64001, 3, 210916.0
3000, 2000, 80001, 3, 225764.0
3600, 2400, 96001, 3, 119141.0
4200, 2800, 112001, 3, 243765.0
4800, 3200, 128001, 3, 291377.0
5400, 3600, 144001, 3, 112953.0
6000, 4000, 160001, 3, 114776.0
600, 400, 32001, 4, 603966.0
1200, 800, 64001, 4, 358658.0
1800, 1200, 96001, 4, 329872.0
2400, 1600, 128001, 4, 880496.0
3000, 2000, 160001, 4, 300088.0
3600, 2400, 192001, 4, 374332.0
4200, 2800, 224001, 4, 464321.0
4800, 3200, 256001, 4, 1329432.0
5400, 3600, 288001, 4, 451076.0
6000, 4000, 320001, 4, 1563162.0
600, 400, 64001, 5, 788739.0
1200, 800, 128001, 5, 905606.0
1800, 1200, 192001, 5, 897322.0
2400, 1600, 256001, 5, 996899.0
3000, 2000, 320001, 5, 2012791.0
3600, 2400, 384001, 5, 863240.0
4200, 2800, 448001, 5, 892700.0
4800, 3200, 512001, 5, 2622886.0
5400, 3600, 576001, 5, 2195005.0
6000, 4000, 640001, 5, 2480420.0
6600, 4400, 44001, 1, 69396.0
7200, 4800, 48001, 1, 75370.0
7800, 5200, 52001, 1, 18051.0
8400, 5600, 56001, 1, 15732.0
9000, 6000, 60001, 1, 15995.0
9600, 6400, 64001, 1, 17305.0
10200, 6800, 68001, 1, 15487.0
10800, 7200, 72001, 1, 90915.0
11400, 7600, 76001, 1, 17127.0
12000, 8000, 80001, 1, 15267.0
6600, 4400, 88001, 2, 45140.0
7200, 4800, 96001, 2, 45725.0
7800, 5200, 104001, 2, 39911.0
8400, 5600, 112001, 2, 42592.0
9000, 6000, 120001, 2, 40184.0
9600, 6400, 128001, 2, 44250.0
10200, 6800, 136001, 2, 42987.0
10800, 7200, 144001, 2, 691936.0
11400, 7600, 152001, 2, 42816.0
12000, 8000, 160001, 2, 43268.0
6600, 4400, 176001, 3, 116361.0
7200, 4800, 192001, 3, 946852.0
7800, 5200, 208001, 3, 113707.0
8400, 5600, 224001, 3, 111852.0
9000, 6000, 240001, 3, 114157.0
9600, 6400, 256001, 3, 112260.0
10200, 6800, 272001, 3, 113187.0
10800, 7200, 288001, 3, 113047.0
11400, 7600, 304001, 3, 306009.0
12000, 8000, 320001, 3, 112261.0
6600, 4400, 352001, 4, 1726537.0
7200, 4800, 384001, 4, 483572.0
7800, 5200, 416001, 4, 287497.0
8400, 5600, 448001, 4, 2069696.0
9000, 6000, 480001, 4, 2184162.0
9600, 6400, 512001, 4, 1242390.0
10200, 6800, 544001, 4, 1453940.0
10800, 7200, 576001, 4, 1614834.0
11400, 7600, 608001, 4, 1941780.0
12000, 8000, 640001, 4, 1933614.0
6600, 4400, 704001, 5, 1332624.0
7200, 4800, 768001, 5, 1333507.0
7800, 5200, 832001, 5, 1272621.0
8400, 5600, 896001, 5, 1294716.0
9000, 6000, 960001, 5, 1353340.0
9600, 6400, 1024001, 5, 1204093.0
10200, 6800, 1088001, 5, 1330350.0
10800, 7200, 1152001, 5, 1527483.0
11400, 7600, 1216001, 5, 1327407.0
12000, 8000, 1280001, 5, 1260145.0
