nodes,height,delay
1000,1,44.124
3000,1,44.277
5000,1,40.275
7000,1,49.126
9000,1,31.93
11000,1,41.504
13000,1,31.833
15000,1,33.305
17000,1,39.711
19000,1,33.826
20000,1,78.888
1000,2,77.187
3000,2,87.229
5000,2,105.534
7000,2,82.978
9000,2,106.866
11000,2,79.555
13000,2,80.568
15000,2,98.647
17000,2,101.742
19000,2,75.637
20000,2,77.284
1000,3,238.637
3000,3,222.067
5000,3,286.085
7000,3,201.979
9000,3,195.101
11000,3,213.953
13000,3,200.927
15000,3,198.28
17000,3,258.61
19000,3,195.695
20000,3,197.67
1000,4,500.556
3000,4,601.236
5000,4,651.59
7000,4,533.085
9000,4,556.089
11000,4,569.322
13000,4,571.717
15000,4,580.482
17000,4,516.497
19000,4,639.178
20000,4,592.176
1000,5,1269.418
3000,5,1315.295
5000,5,1270.507
7000,5,1317.619
9000,5,1284.504
11000,5,1307.965
13000,5,1318.25
15000,5,1336.568
17000,5,1295.897
19000,5,1285.05
20000,5,1265.93
